ID_Cliente,Nome,Email,Telefone,Data_Cadastro,Cidade,Estado,Idade,Renda_Mensal,Ativo
C031,Cliente 31,cliente31@email.com,+55-11-99496-8392,10/10/2023,Fortaleza,BA,79,1694.54,No
C032,Cliente 32,cliente32@email.com,+55-11-99434-5413,06-14-2023,Curitiba,SP,50,2240.04,Não
C033,Cliente 33,cliente33@email.com,+55-11-99842-1663,11/11/2023,São Paulo,PR,71,3451.98,N
C034,Cliente 34,cliente34@email.com,+55-11-99715-6232,14/11/2023,Brasília,RJ,66,812.22,Não
C035,Cliente 35,cliente35email.com,N/A,21/02/2023,Manaus,PR,29,2972.17,Não
C036,Cliente 36,cliente36@email.com,+55-11-99136-2636,23/04/2023,Recife,RS,73,-489.74,No
C037,Cliente 37,cliente37@email.com,+55-11-99104-1698,23/04/2023,Recife,MG,19,2011.23,S
C038,Cliente 38,cliente38@email.com,+55-11-99759-8392,06/05/2023,Belo Horizonte,BA,19,3005.91,No
C039,Cliente 39,cliente39@email.com,+55-11-99076-2707,06/08/2023,Fortaleza,CE,49,6238.09,S
C040,Cliente 40,cliente40@email.com,N/A,07-22-2023,Manaus,RS,255,4847.67,Yes
C041,Cliente 41,cliente41@email.com,+55-11-98122-9958,21/10/2023,Porto Alegre,PR,41,3534.24,Não
C042,Cliente 42,cliente42email.com,+55-11-98981-2930,28/08/2023,Belo Horizonte,CE,33,-2967.18,N
C043,Cliente 43,cliente43@email.com,+55-11-98608-5282,22/11/2023,Rio de Janeiro,SP,33,3149.48,Sim
C044,Cliente 44,cliente44@email.com,+55-11-98954-7546,12/12/2023,Belo Horizonte,MG,20,2244.79,No
C045,Cliente 45,cliente45@email.com,N/A,27/05/2023,Porto Alegre,AM,37,1406.54,Sim
C046,Cliente 46,cliente46@email.com,+55-11-98928-2959,08/05/2023,Porto Alegre,RS,56,3710.39,Yes
C047,Cliente 47,cliente47@email.com,+55-11-98337-5736,24/09/2023,Recife,CE,45,1743.63,S
C048,Cliente 48,cliente48@email.com,+55-11-99438-5061,10-25-2023,Fortaleza,SP,52,-4015.78,No
C049,Cliente 49,cliente49email.com,+55-11-98262-7287,12/12/2023,Rio de Janeiro,CE,65,5045.83,S
C050,Cliente 50,cliente50@email.com,N/A,02/01/2023,Curitiba,RJ,200,6808.74,S
